alloy,crystal,do_relaxation
CoFeMnNi,BCC,FALSE
HfNbTaZr,BCC,FALSE
Mo1.7NbTiVZr,BCC,FALSE
MoNbTaVW,BCC,FALSE
NbTaTiV,BCC,FALSE
AlCoCrFeMo0.1Ni,BCC,FALSE
Al0.25MoNbTiV,BCC,FALSE
Al2CoCrFeMo0.5Ni,BCC,FALSE
Al0.25CoCrCu0.75FeNiTi0.5,BCC,FALSE
CoCrMnNi,BCC,FALSE
Al0.3CoCrCuFeNi,BCC,FALSE
AlCoCrFeNb0.1Ni,BCC,FALSE
Al2.5CoCrFeNi,BCC,FALSE
AlCoCrFeNiTi,BCC,FALSE
Al0.5CoCrCuFeNiV2.0,BCC,FALSE
Al0.5HfNbTaTiZr,BCC,FALSE
AlNbTaTiV,BCC,FALSE
Al0.5CoCrCuFeNiV1.8,BCC,FALSE
Hf0.5Nb0.5Ta0.5Ti1.5Zr,BCC,FALSE
NbTiV0.3Mo0.1,BCC,FALSE
